subj,ability,face,fame,angle,trial,rt,acc,sq,s001,s002,s003,s004,s005,s006,s007,s008,s009,s010,s011,s012,s013,s014,s015
S13,super,N10,novel,C,140,1335,TRUE,s010,-0.17056,-0.020833,-0.085681,-0.14879,-0.0625,<undefined>,0.045854,-0.051163,0.017872,<undefined>,-0.07261,-0.093443,0.22804,-0.13868,0.25
S14,super,N10,novel,C,72,744,TRUE,s011,0.073529,0.37239,0.28634,0.52632,-0.13333,<undefined>,0.50477,0.45188,0.17647,-0.07261,<undefined>,0.5,-0.21427,0.53333,-0.1732
S15,super,N10,novel,C,45,875,TRUE,s012,-0.058824,0.46429,0.15217,0.28947,-0.10714,<undefined>,0.44444,0.28947,0.14706,-0.093443,0.5,<undefined>,-0.34229,0.5,-0.15952
S17,super,N10,novel,C,50,1564,TRUE,s013,-0.2487,-0.13735,-0.33512,-0.085689,-0.096154,<undefined>,-0.19118,-0.30326,-0.067025,0.22804,-0.21427,-0.34229,<undefined>,-0.15328,0.2533
S90,super,N10,novel,C,113,933,TRUE,s014,0.036981,0.4,0.2938,0.46091,-0.13333,<undefined>,0.5143,0.46091,0.52941,-0.13868,0.53333,0.5,-0.15328,<undefined>,-0.1732
S91,super,N10,novel,C,92,1368,TRUE,s015,-0.2172,-0.10417,-0.019607,-0.051163,-0.14583,<undefined>,0.0041877,-0.11724,-0.16309,0.25,-0.1732,-0.15952,0.2533,-0.1732,<undefined>
S01,super,N10,novel,D,81,1184,TRUE,s001,<undefined>,0.32605,0.63462,0.30614,0.2381,<undefined>,0.59524,-0.15153,0.083742,-0.092857,0.45238,0.45715,0.54762,0.61905,-0.18039
S02,super,N10,novel,D,1,1696,TRUE,s002,0.32605,<undefined>,0.29412,0.20588,-0.044118,<undefined>,0.17647,-0.021842,0.16551,-0.03897,0.088235,0.44161,0.17647,0.19118,-0.015475
S03,super,N10,novel,D,1,1456,TRUE,s003,0.63462,0.29412,<undefined>,0.12858,0.096154,<undefined>,0.34615,0.045627,0.1877,-0.042857,0.26923,0.35185,0.26923,0.34945,-0.11387
S04,super,N10,novel,D,90,959,TRUE,s004,0.30614,0.20588,0.12858,<undefined>,0.21875,<undefined>,0.52145,0.065217,-0.069036,-0.17143,0.375,0.127,0.37541,0.46136,-0.037955
S07,super,N10,novel,D,56,918,TRUE,s005,0.2381,-0.044118,0.096154,0.21875,<undefined>,<undefined>,0.46875,-0.26396,-0.013889,-0.27857,0.43333,0.074074,0.30556,0.41176,-0.31429
S09,super,N10,novel,D,31,1152,FALSE,s006,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
S10,super,N10,novel,D,56,863,TRUE,s007,0.59524,0.17647,0.34615,0.52145,0.46875,<undefined>,<undefined>,-0.1267,-0.10158,-0.18571,0.48483,0.35185,0.77778,0.79412,-0.21141
S11,super,N10,novel,D,131,1144,TRUE,s008,-0.15153,-0.021842,0.045627,0.065217,-0.26396,<undefined>,-0.1267,<undefined>,-0.041667,-0.22143,-0.19874,-0.2185,0.01119,-0.20247,0.13102
S12,super,N10,novel,D,52,1831,TRUE,s009,0.083742,0.16551,0.1877,-0.069036,-0.013889,<undefined>,-0.10158,-0.041667,<undefined>,0.11327,0,-0.082107,-0.14563,-0.059913,0.29643
S13,super,N10,novel,D,9,3453,TRUE,s010,-0.092857,-0.03897,-0.042857,-0.17143,-0.27857,<undefined>,-0.18571,-0.22143,0.11327,<undefined>,-0.21429,-0.061835,-0.17143,-0.18449,0.077556
