subj,ability,face,fame,angle,trial,rt,acc,sq,s001,s002,s003,s004,s005,s006,s007,s008,s009,s010,s011,s012,s013,s014,s015
S01,super,F01,famous,A,52,916,TRUE,s001,<undefined>,0.36842,0.38197,-0.1797,0.0098048,0.36842,0.30753,0.84211,-0.10075,-0.25531,0.38648,0.53083,-0.43679,0.19776,-0.24486
S02,super,F01,famous,A,94,516,TRUE,s002,0.36842,<undefined>,0.67857,-0.076923,0.1735,0.69231,0.57756,0.47059,0.18962,-0.2839,0.6,0.67857,-0.4326,0.5066,-0.27754
S03,super,F01,famous,A,151,812,TRUE,s003,0.38197,0.67857,<undefined>,0.035714,0.49492,0.67857,0.89898,0.48573,0.14286,-0.096405,0.5,0.79797,-0.11117,0.75,-0.063258
S04,super,F01,famous,A,46,836,TRUE,s004,-0.1797,-0.076923,0.035714,<undefined>,-0.17857,-0.063725,0.035714,-0.14201,-0.5,-0.4375,-0.2,0.035714,-0.60714,0.23077,-0.2612
S07,super,F01,famous,A,21,863,TRUE,s005,0.0098048,0.1735,0.49492,-0.17857,<undefined>,0.27451,0.59594,0.069782,0,0.031557,0.028595,0.29289,-0.034663,0.40511,0.087769
S09,super,F01,famous,A,142,838,TRUE,s006,0.36842,0.69231,0.67857,-0.063725,0.27451,<undefined>,0.67857,0.47059,0.11538,-0.22498,0.6,0.67857,-0.33158,0.61538,-0.2102
S10,super,F01,famous,A,17,676,TRUE,s007,0.30753,0.57756,0.89898,0.035714,0.59594,0.67857,<undefined>,0.40254,0.14286,-0.037479,0.40572,0.69695,-0.010153,0.75,0.0040851
S11,super,F01,famous,A,144,807,TRUE,s008,0.84211,0.47059,0.48573,-0.14201,0.069782,0.47059,0.40254,<undefined>,-0.053777,-0.26246,0.49077,0.65211,-0.42935,0.27984,-0.25303
S12,super,F01,famous,A,119,543,TRUE,s009,-0.10075,0.18962,0.14286,-0.5,0,0.11538,0.14286,-0.053777,<undefined>,-0.125,0.0057191,0.14286,-0.16019,0.11538,-0.21429
S13,super,F01,famous,A,67,1187,TRUE,s010,-0.25531,-0.2839,-0.096405,-0.4375,0.031557,-0.22498,-0.037479,-0.26246,-0.125,<undefined>,-0.033905,-0.21426,0.29167,-0.14879,0.1875
S14,super,F01,famous,A,89,708,TRUE,s011,0.38648,0.6,0.5,-0.2,0.028595,0.6,0.40572,0.49077,0.0057191,-0.033905,<undefined>,0.5781,-0.19902,0.30572,-0.13469
S15,super,F01,famous,A,94,981,TRUE,s012,0.53083,0.67857,0.79797,0.035714,0.29289,0.67857,0.69695,0.65211,0.14286,-0.21426,0.5781,<undefined>,-0.3132,0.54797,-0.19795
S17,super,F01,famous,A,124,998,TRUE,s013,-0.43679,-0.4326,-0.11117,-0.60714,-0.034663,-0.33158,-0.010153,-0.42935,-0.16019,0.29167,-0.19902,-0.3132,<undefined>,-0.20098,0.16667
S90,super,F01,famous,A,79,783,TRUE,s014,0.19776,0.5066,0.75,0.23077,0.40511,0.61538,0.75,0.27984,0.11538,-0.14879,0.30572,0.54797,-0.20098,<undefined>,-0.10679
S91,super,F01,famous,A,10,1198,TRUE,s015,-0.24486,-0.27754,-0.063258,-0.2612,0.087769,-0.2102,0.0040851,-0.25303,-0.21429,0.1875,-0.13469,-0.19795,0.16667,-0.10679,<undefined>
S01,super,F01,famous,B,36,860,TRUE,s001,<undefined>,-0.17538,-0.13889,0.03731,-0.16667,0.30556,-0.046024,-0.0082555,0.083333,-0.20639,-0.11111,-0.34123,-0.083333,-0.18015,0.14061
S02,super,F01,famous,B,83,649,TRUE,s002,-0.17538,<undefined>,0.61538,-0.076923,-0.14997,0.24539,0.62198,0.37745,0.089101,-0.1867,0.65385,0.14108,0.38462,0.10714,0.15789
S03,super,F01,famous,B,104,769,TRUE,s003,-0.13889,0.61538,<undefined>,0.2121,-0.16513,0.39749,0.5,0.30302,0.26975,-0.29851,0.88462,-0.020527,0.58352,0.32143,-0.10526
S04,super,F01,famous,B,110,890,TRUE,s004,0.03731,-0.076923,0.2121,<undefined>,0.067862,-0.20502,-0.25603,-0.23607,0.18656,-0.27831,0.09672,-0.046415,-0.20437,-0.35102,-0.2451
S07,super,F01,famous,B,8,1006,TRUE,s005,-0.16667,-0.14997,-0.16513,0.067862,<undefined>,-0.3218,-0.30622,-0.29695,-0.06805,0.017241,-0.25888,0.125,-0.46247,-0.61872,0.066177
S09,super,F01,famous,B,38,990,TRUE,s006,0.30556,0.24539,0.39749,-0.20502,-0.3218,<undefined>,0.35799,0.56618,0.034458,-0.1261,0.39245,-0.29743,0.52941,0.38235,0.048891
S10,super,F01,famous,B,42,583,TRUE,s007,-0.046024,0.62198,0.5,-0.25603,-0.30622,0.35799,<undefined>,0.44737,0.039504,-0.18374,0.58333,-0.12944,0.57692,0.28571,0.13158
S11,super,F01,famous,B,142,911,TRUE,s008,-0.0082555,0.37745,0.30302,-0.23607,-0.29695,0.56618,0.44737,<undefined>,0.0052897,-0.14038,0.2985,-0.011996,0.42105,0.23684,0.32482
S12,super,F01,famous,B,71,807,TRUE,s009,0.083333,0.089101,0.26975,0.18656,-0.06805,0.034458,0.039504,0.0052897,<undefined>,-0.10345,0.18152,0.025231,0,-0.17142,-0.10526
S13,super,F01,famous,B,30,1582,TRUE,s010,-0.20639,-0.1867,-0.29851,-0.27831,0.017241,-0.1261,-0.18374,-0.14038,-0.10345,<undefined>,-0.32759,0.043357,-0.26995,-0.22414,-0.0083669
S14,super,F01,famous,B,71,554,TRUE,s011,-0.11111,0.65385,0.88462,0.09672,-0.25888,0.39245,0.58333,0.2985,0.18152,-0.32759,<undefined>,-0.077665,0.62198,0.35714,-0.078947
S15,super,F01,famous,B,15,760,TRUE,s012,-0.34123,0.14108,-0.020527,-0.046415,0.125,-0.29743,-0.12944,-0.011996,0.025231,0.043357,-0.077665,<undefined>,-0.31158,-0.46339,0.14964
S17,super,F01,famous,B,8,1684,TRUE,s013,-0.083333,0.38462,0.58352,-0.20437,-0.46247,0.52941,0.57692,0.42105,0,-0.26995,0.62198,-0.31158,<undefined>,0.39286,0.0090302
S90,super,F01,famous,B,86,886,TRUE,s014,-0.18015,0.10714,0.32143,-0.35102,-0.61872,0.38235,0.28571,0.23684,-0.17142,-0.22414,0.35714,-0.46339,0.39286,<undefined>,-0.17518
S91,super,F01,famous,B,36,996,TRUE,s015,0.14061,0.15789,-0.10526,-0.2451,0.066177,0.048891,0.13158,0.32482,-0.10526,-0.0083669,-0.078947,0.14964,0.0090302,-0.17518,<undefined>
S01,super,F01,famous,C,83,1176,TRUE,s001,<undefined>,0.041667,0.0625,-0.013684,0.055964,0.083333,0.375,0.5625,0.083333,-0.1589,0.25,0.090482,-0.1345,0.33333,0.47917
S02,super,F01,famous,C,57,587,TRUE,s002,0.041667,<undefined>,0.5,-0.14706,-0.27854,0.34763,0.42857,0.18421,0.41667,-0.3652,0.42857,0.14645,-0.29657,0.3125,0.065217
S03,super,F01,famous,C,112,806,TRUE,s003,0.0625,0.5,<undefined>,0.068916,-0.18365,0.62198,0.34594,0.12332,0.26923,-0.16954,0.60714,0.23737,-0.2102,0.20358,0.014919
S04,super,F01,famous,C,65,1044,TRUE,s004,-0.013684,-0.14706,0.068916,<undefined>,-0.029412,0.26471,-0.25879,-0.27064,-0.17142,0,0.24034,-0.20588,-0.047619,-0.013407,-0.13661
S07,super,F01,famous,C,91,892,TRUE,s005,0.055964,-0.27854,-0.18365,-0.029412,<undefined>,0.054097,-0.23669,-0.30598,-0.1306,0.28261,0.066352,0.02451,0.11905,-0.34283,-0.33973
S09,super,F01,famous,C,145,704,TRUE,s006,0.083333,0.34763,0.62198,0.26471,0.054097,<undefined>,0.078608,-0.073658,0.31311,-0.024829,0.6847,0.16667,-0.18639,0.0062816,-0.1478
S10,super,F01,famous,C,101,674,TRUE,s007,0.375,0.42857,0.34594,-0.25879,-0.23669,0.078608,<undefined>,0.60526,0.38165,-0.39375,0.39391,0.22654,-0.24556,0.6875,0.41304
S11,super,F01,famous,C,21,913,TRUE,s008,0.5625,0.18421,0.12332,-0.27064,-0.30598,-0.073658,0.60526,<undefined>,0.14964,-0.37511,0.15867,0.035346,-0.22514,0.55263,0.73913
S12,super,F01,famous,C,116,594,TRUE,s009,0.083333,0.41667,0.26923,-0.17142,-0.1306,0.31311,0.38165,0.14964,<undefined>,-0.15526,0.5,0.083333,-0.15033,0.27145,0.036659
S13,super,F01,famous,C,116,1189,TRUE,s010,-0.1589,-0.3652,-0.16954,0,0.28261,-0.024829,-0.39375,-0.37511,-0.15526,<undefined>,-0.10433,-0.11179,0.34783,-0.48817,-0.46206
S14,super,F01,famous,C,60,652,TRUE,s011,0.25,0.42857,0.60714,0.24034,0.066352,0.6847,0.39391,0.15867,0.5,-0.10433,<undefined>,0.1847,-0.28163,0.20895,0.044118
S15,super,F01,famous,C,41,756,TRUE,s012,0.090482,0.14645,0.23737,-0.20588,0.02451,0.16667,0.22654,0.035346,0.083333,-0.11179,0.1847,<undefined>,0.11905,0.13572,-0.057758
S17,super,F01,famous,C,160,1280,TRUE,s013,-0.1345,-0.29657,-0.2102,-0.047619,0.11905,-0.18639,-0.24556,-0.22514,-0.15033,0.34783,-0.28163,0.11905,<undefined>,-0.1585,-0.19501
S90,super,F01,famous,C,45,951,TRUE,s014,0.33333,0.3125,0.20358,-0.013407,-0.34283,0.0062816,0.6875,0.55263,0.27145,-0.48817,0.20895,0.13572,-0.1585,<undefined>,0.54348
S91,super,F01,famous,C,45,1314,TRUE,s015,0.47917,0.065217,0.014919,-0.13661,-0.33973,-0.1478,0.41304,0.73913,0.036659,-0.46206,0.044118,-0.057758,-0.19501,0.54348,<undefined>
S01,super,F01,famous,D,89,1316,TRUE,s001,<undefined>,0.11111,0.12963,0.2963,-0.079338,0.2037,0.33333,0.22015,0.13281,0.10267,0.08996,0.31481,0.059278,0.074074,0.049746
S02,super,F01,famous,D,19,739,TRUE,s002,0.11111,<undefined>,0.33905,0.17075,-0.095238,0.56667,0.6,0.051282,-0.20474,-0.29779,0.10447,0.40625,0.068182,0.4,0.047619
S03,super,F01,famous,D,5,848,TRUE,s003,0.12963,0.33905,<undefined>,0.5,-0.091153,0.65511,0.63333,-0.064103,-0.14181,-0.26263,0.083947,0.5,0.07988,0.39286,0.079599
S04,super,F01,famous,D,39,1399,TRUE,s004,0.2963,0.17075,0.5,<undefined>,-0.20203,0.36531,0.42857,-0.025641,-0.042833,-0.19834,0.14356,0.35714,0.027296,0.19048,0.0081701
S07,super,F01,famous,D,18,1215,TRUE,s005,-0.079338,-0.095238,-0.091153,-0.20203,<undefined>,0.059874,0.02451,-0.25823,0.01634,0.17034,0.21429,-0.055088,0.21234,-0.095238,0.17554
S09,super,F01,famous,D,97,836,TRUE,s006,0.2037,0.56667,0.65511,0.36531,0.059874,<undefined>,0.76667,-0.012821,-0.058122,-0.20437,0.30806,0.625,0.27273,0.53571,0.30952
S10,super,F01,famous,D,152,706,TRUE,s007,0.33333,0.6,0.63333,0.42857,0.02451,0.76667,<undefined>,0.076923,-0.048528,-0.16921,0.22503,0.75536,0.18572,0.53333,0.2381
S11,super,F01,famous,D,2,2574,TRUE,s008,0.22015,0.051282,-0.064103,-0.025641,-0.25823,-0.012821,0.076923,<undefined>,-0.20513,-0.25603,-0.14285,0.027841,-0.040284,0,-0.16447
S12,super,F01,famous,D,95,624,TRUE,s009,0.13281,-0.20474,-0.14181,-0.042833,0.01634,-0.058122,-0.048528,-0.20513,<undefined>,0.096154,0.078585,0.12592,0.094808,-0.15931,0.0081701
S13,super,F01,famous,D,134,1253,TRUE,s010,0.10267,-0.29779,-0.26263,-0.19834,0.17034,-0.20437,-0.16921,-0.25603,0.096154,<undefined>,-0.025264,-0.041195,0.11925,-0.26593,0.07089
S14,super,F01,famous,D,8,906,TRUE,s011,0.08996,0.10447,0.083947,0.14356,0.21429,0.30806,0.22503,-0.14285,0.078585,-0.025264,<undefined>,0.35983,0.098708,0.067862,0.0040851
S15,super,F01,famous,D,138,907,TRUE,s012,0.31481,0.40625,0.5,0.35714,-0.055088,0.625,0.75536,0.027841,0.12592,-0.041195,0.35983,<undefined>,0.21624,0.46875,0.21429
S17,super,F01,famous,D,98,1399,TRUE,s013,0.059278,0.068182,0.07988,0.027296,0.21234,0.27273,0.18572,-0.040284,0.094808,0.11925,0.098708,0.21624,<undefined>,0.25,0.11364
S90,super,F01,famous,D,127,756,TRUE,s014,0.074074,0.4,0.39286,0.19048,-0.095238,0.53571,0.53333,0,-0.15931,-0.26593,0.067862,0.46875,0.25,<undefined>,0
S91,super,F01,famous,D,93,1300,TRUE,s015,0.049746,0.047619,0.079599,0.0081701,0.17554,0.30952,0.2381,-0.16447,0.0081701,0.07089,0.0040851,0.21429,0.11364,0,<undefined>
S01,super,F02,famous,A,73,1135,TRUE,s001,<undefined>,0.061052,0.19742,-0.12077,0.18182,-0.20455,0.38636,0.24287,0.31818,-0.19767,0.12923,-0.037656,0.038325,0.045455,0.53443
S02,super,F02,famous,A,26,707,TRUE,s002,0.061052,<undefined>,0.6847,-0.11111,0.38165,0.041667,0.44947,0.19822,0.5286,-0.24419,0.16667,0.63215,0.56667,0.16667,0.42143
S03,super,F02,famous,A,38,933,TRUE,s003,0.19742,0.6847,<undefined>,-0.11111,0.59594,-0.035714,0.58981,0.34911,0.58368,-0.20731,0.33905,0.47041,0.56667,0.21429,0.5881
S04,super,F02,famous,A,25,1012,TRUE,s004,-0.12077,-0.11111,-0.11111,<undefined>,-0.22222,-0.35553,-0.083333,0.11111,-0.11111,-0.34849,-0.38807,-0.22222,-0.20792,0.16667,-0.036492
S07,super,F02,famous,A,61,851,TRUE,s005,0.18182,0.38165,0.59594,-0.22222,<undefined>,-0.035714,0.60714,0.375,0.64286,-0.22093,0.3,0.3694,0.28382,0.28571,0.43096
S09,super,F02,famous,A,146,656,TRUE,s006,-0.20455,0.041667,-0.035714,-0.35553,-0.035714,<undefined>,0,-0.057138,0.041667,-0.11628,-0.14951,0.045455,-0.13333,-0.375,-0.13889
S10,super,F02,famous,A,74,616,TRUE,s007,0.38636,0.44947,0.58981,-0.083333,0.60714,0,<undefined>,0.50536,0.88462,-0.23256,0.41144,0.28243,0.2781,0.42308,0.58333
S11,super,F02,famous,A,132,796,TRUE,s008,0.24287,0.19822,0.34911,0.11111,0.375,-0.057138,0.50536,<undefined>,0.5,-0.10465,0.28125,0.13572,0.078585,0.125,0.37541
S12,super,F02,famous,A,117,634,TRUE,s009,0.31818,0.5286,0.58368,-0.11111,0.64286,0.041667,0.88462,0.5,<undefined>,-0.24419,0.40572,0.34763,0.27239,0.5,0.5
S13,super,F02,famous,A,85,2146,TRUE,s010,-0.19767,-0.24419,-0.20731,-0.34849,-0.22093,-0.11628,-0.23256,-0.10465,-0.24419,<undefined>,-0.11628,-0.26744,-0.21894,-0.38372,-0.17442
S14,super,F02,famous,A,14,738,TRUE,s011,0.12923,0.16667,0.33905,-0.38807,0.3,-0.14951,0.41144,0.28125,0.40572,-0.11628,<undefined>,0.13905,0.17239,0.033333,0.26906
S15,super,F02,famous,A,148,744,TRUE,s012,-0.037656,0.63215,0.47041,-0.22222,0.3694,0.045455,0.28243,0.13572,0.34763,-0.26744,0.13905,<undefined>,0.33905,0.16667,0.25477
S17,super,F02,famous,A,85,1074,TRUE,s013,0.038325,0.56667,0.56667,-0.20792,0.28382,-0.13333,0.2781,0.078585,0.27239,-0.21894,0.17239,0.33905,<undefined>,0.095262,0.39365
S90,super,F02,famous,A,85,752,TRUE,s014,0.045455,0.16667,0.21429,0.16667,0.28571,-0.375,0.42308,0.125,0.5,-0.38372,0.033333,0.16667,0.095262,<undefined>,0.16667
S91,super,F02,famous,A,73,1090,TRUE,s015,0.53443,0.42143,0.5881,-0.036492,0.43096,-0.13889,0.58333,0.37541,0.5,-0.17442,0.26906,0.25477,0.39365,0.16667,<undefined>
S01,super,F02,famous,B,127,1216,TRUE,s001,<undefined>,0.20455,0.31818,0.075981,-0.14349,0.20455,0.27273,0.29545,-0.041555,-0.45388,0.13636,0.25,-0.28376,0.11364,0.19742
S02,super,F02,famous,B,155,527,TRUE,s002,0.20455,<undefined>,0.70833,0.2,0.2253,1,0.67857,0.6,0.30421,-0.18569,0.75715,0.76923,-0.018246,0.36364,-0.175
S03,super,F02,famous,B,87,778,TRUE,s003,0.31818,0.70833,<undefined>,0.40572,0.09672,0.70833,0.57143,0.5,0.20588,-0.26529,0.58333,0.65385,-0.10158,0.29167,-0.25
S04,super,F02,famous,B,77,1012,TRUE,s004,0.075981,0.2,0.40572,<undefined>,0.33333,0.2,0.21716,0.22288,0.23529,-0.067344,0.36667,0.21144,0.060321,-0.13333,-0.175
S07,super,F02,famous,B,134,823,TRUE,s005,-0.14349,0.2253,0.09672,0.33333,<undefined>,0.2253,0.18575,0.14003,0.27984,0.29388,0.44947,0.2385,0.41667,0,-0.475
S09,super,F02,famous,B,115,698,TRUE,s006,0.20455,1,0.70833,0.2,0.2253,<undefined>,0.67857,0.6,0.30421,-0.18569,0.75715,0.76923,-0.018246,0.36364,-0.175
S10,super,F02,famous,B,27,669,TRUE,s007,0.27273,0.67857,0.57143,0.21716,0.18575,0.67857,<undefined>,0.9,0.31935,-0.17344,0.58368,0.89286,-0.0039482,0.17857,-0.1
S11,super,F02,famous,B,139,742,TRUE,s008,0.29545,0.6,0.5,0.22288,0.14003,0.6,0.9,<undefined>,0.3244,-0.16935,0.51144,0.8,0.0008177,0.13333,-0.095711
S12,super,F02,famous,B,93,839,TRUE,s009,-0.041555,0.30421,0.20588,0.23529,0.27984,0.30421,0.31935,0.3244,<undefined>,0.091854,0.47563,0.3143,0.083333,0.058824,-0.045711
S13,super,F02,famous,B,148,1001,TRUE,s010,-0.45388,-0.18569,-0.26529,-0.067344,0.29388,-0.18569,-0.17344,-0.16935,0.091854,<undefined>,-0.046918,-0.17752,0.5,-0.30544,-0.071429
S14,super,F02,famous,B,39,588,TRUE,s011,0.13636,0.75715,0.58333,0.36667,0.44947,0.75715,0.58368,0.51144,0.47563,-0.046918,<undefined>,0.66704,0.14365,0.29167,-0.25
S15,super,F02,famous,B,72,782,TRUE,s012,0.25,0.76923,0.65385,0.21144,0.2385,0.76923,0.89286,0.8,0.3143,-0.17752,0.66704,<undefined>,-0.0087141,0.23077,-0.125
S17,super,F02,famous,B,47,1128,TRUE,s013,-0.28376,-0.018246,-0.10158,0.060321,0.41667,-0.018246,-0.0039482,0.0008177,0.083333,0.5,0.14365,-0.0087141,<undefined>,-0.25,-0.1
S90,super,F02,famous,B,98,701,TRUE,s014,0.11364,0.36364,0.29167,-0.13333,0,0.36364,0.17857,0.13333,0.058824,-0.30544,0.29167,0.23077,-0.25,<undefined>,-0.025
S91,super,F02,famous,B,125,1152,TRUE,s015,0.19742,-0.175,-0.25,-0.175,-0.475,-0.175,-0.1,-0.095711,-0.045711,-0.071429,-0.25,-0.125,-0.1,-0.025,<undefined>
S01,super,F02,famous,C,37,931,TRUE,s001,<undefined>,0.15715,0.23529,0.86111,0.51009,0.73529,0.73529,0.66667,0.21093,-0.052584,-0.0092267,-0.14201,-0.39994,0.33867,-0.43227
S02,super,F02,famous,C,147,738,TRUE,s002,0.15715,<undefined>,0.23737,0.1762,0.25613,0.29797,0.29797,0.03198,-0.033333,-0.35584,0,-0.17911,-0.26569,0.36667,-0.57817
S03,super,F02,famous,C,154,813,TRUE,s003,0.23529,0.23737,<undefined>,0.25,0.25,0.39286,0.39286,0.095238,-0.2,-0.29545,-0.038462,-0.30769,-0.63235,0.33333,-0.55186
S04,super,F02,famous,C,70,1158,TRUE,s004,0.86111,0.1762,0.25,<undefined>,0.43096,0.66667,0.66667,0.7381,0.17143,-0.056484,-0.036492,-0.1619,-0.42851,0.29208,-0.42776
S07,super,F02,famous,C,99,964,TRUE,s005,0.51009,0.25613,0.25,0.43096,<undefined>,0.69695,0.69695,0.29797,0.3,-0.08311,0.054097,-0.10714,-0.13709,0.3,-0.50748
S09,super,F02,famous,C,78,672,TRUE,s006,0.73529,0.29797,0.39286,0.66667,0.69695,<undefined>,1,0.5,0.3,-0.045455,0.095939,-0.065301,-0.41993,0.44477,-0.41499
S10,super,F02,famous,C,37,686,TRUE,s007,0.73529,0.29797,0.39286,0.66667,0.69695,1,<undefined>,0.5,0.3,-0.045455,0.095939,-0.065301,-0.41993,0.44477,-0.41499
S11,super,F02,famous,C,36,1017,TRUE,s008,0.66667,0.03198,0.095238,0.7381,0.29797,0.5,0.5,<undefined>,0.075514,-0.018159,-0.10271,-0.2102,-0.43872,0.17892,-0.40266
S12,super,F02,famous,C,159,797,TRUE,s009,0.21093,-0.033333,-0.2,0.17143,0.3,0.3,0.3,0.075514,<undefined>,0.2578,0.11144,0.26667,-0.13807,-0.13333,-0.19247
S13,super,F02,famous,C,107,1136,TRUE,s010,-0.052584,-0.35584,-0.29545,-0.056484,-0.08311,-0.045455,-0.045455,-0.018159,0.2578,<undefined>,0.13636,0.18572,-0.17012,-0.15909,0.27663
S14,super,F02,famous,C,123,563,TRUE,s011,-0.0092267,0,-0.038462,-0.036492,0.054097,0.095939,0.095939,-0.10271,0.11144,0.13636,<undefined>,0.31429,-0.060948,-0.1,-0.060887
S15,super,F02,famous,C,52,818,TRUE,s012,-0.14201,-0.17911,-0.30769,-0.1619,-0.10714,-0.065301,-0.065301,-0.2102,0.26667,0.18572,0.31429,<undefined>,-0.18856,-0.13333,-0.12706
S17,super,F02,famous,C,52,949,TRUE,s013,-0.39994,-0.26569,-0.63235,-0.42851,-0.13709,-0.41993,-0.41993,-0.43872,-0.13807,-0.17012,-0.060948,-0.18856,<undefined>,-0.28758,-0.42105
S90,super,F02,famous,C,35,879,TRUE,s014,0.33867,0.36667,0.33333,0.29208,0.3,0.44477,0.44477,0.17892,-0.13333,-0.15909,-0.1,-0.13333,-0.28758,<undefined>,-0.59546
S91,super,F02,famous,C,4,1095,TRUE,s015,-0.43227,-0.57817,-0.55186,-0.42776,-0.50748,-0.41499,-0.41499,-0.40266,-0.19247,0.27663,-0.060887,-0.12706,-0.42105,-0.59546,<undefined>
S01,super,F02,famous,D,9,1052,TRUE,s001,<undefined>,0.31818,0.2578,0.32598,-0.25646,0.29545,0.31818,0.35261,-0.15842,0.039304,0.38636,0.36364,-0.094139,0.27273,0.18572
S02,super,F02,famous,D,84,586,TRUE,s002,0.31818,<undefined>,0.66704,0.25613,-0.094456,0.36667,1,0.5,-0.046024,0.09235,0.88462,0.78571,-0.28033,0.91667,0.30952
S03,super,F02,famous,D,148,632,TRUE,s003,0.2578,0.66704,<undefined>,0.53571,-0.22304,0.2,0.66704,0.58333,0.12541,0.0030638,0.67364,0.54797,-0.0098034,0.62198,0.17075
S04,super,F02,famous,D,116,913,TRUE,s004,0.32598,0.25613,0.53571,<undefined>,-0.25,0.29526,0.25613,0.33333,0.032544,-0.11581,0.26226,0.20921,0.22411,0.21429,-0.035364
S07,super,F02,famous,D,139,987,TRUE,s005,-0.25646,-0.094456,-0.22304,-0.25,<undefined>,-0.20474,-0.094456,-0.23488,0.083333,0.14592,-0.087857,-0.15914,-0.24464,-0.13952,0.17075
S09,super,F02,famous,D,110,935,TRUE,s006,0.29545,0.36667,0.2,0.29526,-0.20474,<undefined>,0.36667,0.13889,0.046841,0.017857,0.4,0.3781,0.12592,0.3,0.28571
S10,super,F02,famous,D,62,588,TRUE,s007,0.31818,1,0.66704,0.25613,-0.094456,0.36667,<undefined>,0.5,-0.046024,0.09235,0.88462,0.78571,-0.28033,0.91667,0.30952
S11,super,F02,famous,D,42,854,TRUE,s008,0.35261,0.5,0.58333,0.33333,-0.23488,0.13889,0.5,<undefined>,0.24129,-0.014793,0.50477,0.44444,0.18573,0.44444,0.16667
S12,super,F02,famous,D,87,870,TRUE,s009,-0.15842,-0.046024,0.12541,0.032544,0.083333,0.046841,-0.046024,0.24129,<undefined>,0.012255,-0.041258,-0.10158,0.61111,-0.078567,-0.0074692
S13,super,F02,famous,D,109,1394,TRUE,s010,0.039304,0.09235,0.0030638,-0.11581,0.14592,0.017857,0.09235,-0.014793,0.012255,<undefined>,0.095413,0.056635,-0.12194,0.071429,0.39592
S14,super,F02,famous,D,154,643,TRUE,s011,0.38636,0.88462,0.67364,0.26226,-0.087857,0.4,0.88462,0.50477,-0.041258,0.095413,<undefined>,0.82143,-0.27497,0.80769,0.33333
S15,super,F02,famous,D,91,882,TRUE,s012,0.36364,0.78571,0.54797,0.20921,-0.15914,0.3781,0.78571,0.44444,-0.10158,0.056635,0.82143,<undefined>,-0.32138,0.71429,0.2619
S17,super,F02,famous,D,49,1065,TRUE,s013,-0.094139,-0.28033,-0.0098034,0.22411,-0.24464,0.12592,-0.28033,0.18573,0.61111,-0.12194,-0.27497,-0.32138,<undefined>,-0.31694,-0.2095
S90,super,F02,famous,D,65,840,TRUE,s014,0.27273,0.91667,0.62198,0.21429,-0.13952,0.3,0.91667,0.44444,-0.078567,0.071429,0.80769,0.71429,-0.31694,<undefined>,0.2619
S91,super,F02,famous,D,48,1170,TRUE,s015,0.18572,0.30952,0.17075,-0.035364,0.17075,0.28571,0.30952,0.16667,-0.0074692,0.39592,0.33333,0.2619,-0.2095,0.2619,<undefined>
S01,super,F03,famous,A,120,1023,TRUE,s001,<undefined>,0.029412,0.12774,0.1622,0.24034,0.23111,0.24121,0.63279,0.20588,-0.046208,0.093282,0.22607,0.12774,0.088235,0.0803
S02,super,F03,famous,A,65,675,TRUE,s002,0.029412,<undefined>,0.44695,0.4347,-0.34996,-0.50402,0.3,-0.22016,-0.43122,-0.20588,0.33368,0.42857,-0.39902,0.33981,-0.52649
S03,super,F03,famous,A,124,786,TRUE,s003,0.12774,0.44695,<undefined>,0.58352,-0.18458,-0.087857,0.51716,-0.12183,-0.32675,-0.0563,0.69231,0.66704,-0.099019,0.77583,-0.24486
S04,super,F03,famous,A,94,865,TRUE,s004,0.1622,0.4347,0.58352,<undefined>,-0.29336,-0.37688,0.61144,-0.087369,-0.29013,-0.097895,0.53846,0.77583,-0.1933,0.40441,-0.31221
S07,super,F03,famous,A,86,767,TRUE,s005,0.24034,-0.34996,-0.18458,-0.29336,<undefined>,0.57692,-0.32091,0.24034,0.5,-0.10042,-0.32522,-0.27614,0.16667,-0.15829,0.16667
S09,super,F03,famous,A,133,811,TRUE,s006,0.23111,-0.50402,-0.087857,-0.37688,0.57692,<undefined>,-0.42565,0.3143,0.34375,-0.0563,-0.28676,-0.42081,0.23905,0.01433,0.33333
S10,super,F03,famous,A,69,745,TRUE,s007,0.24121,0.3,0.51716,0.61144,-0.32091,-0.42565,<undefined>,-0.0083609,-0.31602,-0.014706,0.53333,0.7,-0.23709,0.32288,-0.43872
S11,super,F03,famous,A,129,811,TRUE,s008,0.63279,-0.22016,-0.12183,-0.087369,0.24034,0.3143,-0.0083609,<undefined>,0.20588,-0.051254,-0.15629,-0.0235,0.010093,-0.16133,0.14286
S12,super,F03,famous,A,137,753,TRUE,s009,0.20588,-0.43122,-0.32675,-0.29013,0.5,0.34375,-0.31602,0.20588,<undefined>,0.046641,-0.4303,-0.33211,0.28125,-0.22855,0.16667
S13,super,F03,famous,A,13,1688,TRUE,s010,-0.046208,-0.20588,-0.0563,-0.097895,-0.10042,-0.0563,-0.014706,-0.051254,0.046641,<undefined>,-0.13235,-0.058824,0.031935,-0.029412,0.044118
S14,super,F03,famous,A,145,634,TRUE,s011,0.093282,0.33368,0.69231,0.53846,-0.32522,-0.28676,0.53333,-0.15629,-0.4303,-0.13235,<undefined>,0.65385,-0.2714,0.57692,-0.368
S15,super,F03,famous,A,111,883,TRUE,s012,0.22607,0.42857,0.66704,0.77583,-0.27614,-0.42081,0.7,-0.0235,-0.33211,-0.058824,0.65385,<undefined>,-0.25425,0.5286,-0.45098
