fame,ability,face,subj,angle,trial,rt,acc,sq,s001,s002,s003,s004,s005,s006,s007,s008,s009,s010,s011,s012,s013,s014,s015,s016,s017,s018,s019,s020,s021,s022,s023,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s045,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057,s058,s059,s060
novel,super,N02,S11,D,44,1001,TRUE,s032,0.29366,0.52043,0.44231,<undefined>,0.44737,<undefined>,0.38648,<undefined>,0.09375,0.0875,0.50357,<undefined>,0.66692,0.078947,0.37294,<undefined>,0.21499,0.26316,0.066177,<undefined>,0.62784,0.096154,0.40377,<undefined>,0.58798,0.50452,0.61429,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,0.48358,-0.060112,0.23214,<undefined>,0.071954,-0.016511,-0.31997,<undefined>,0.66241,0.53083,0.60526,<undefined>,0.60526,0.5,0.078947,<undefined>,0.14764,0.063919,-0.10526,<undefined>,0.52632,0.28947,0.50452,<undefined>,0.0012799,-0.019231,-0.060887,<undefined>
novel,super,N02,S12,A,48,1031,TRUE,s033,<undefined>,0.19935,0.34615,0.0064238,<undefined>,<undefined>,0.23358,0.4,<undefined>,-0.091421,0.23989,0.11716,<undefined>,0.05,0.2,-0.125,<undefined>,0.20429,-0.020711,0.125,<undefined>,-0.15385,0.1,0.21716,<undefined>,0.11287,0.21716,0.23003,<undefined>,0.087769,0.19935,0.48358,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,0.225,-0.10355,0.13791,<undefined>,0.33787,0.42929,0.20858,<undefined>,0.15,-0.05,0.21716,<undefined>,-0.080818,-0.13158,-0.10465,<undefined>,-0.05,0.15429,0.15429,<undefined>,-0.11152,0.067157,0.087452
novel,super,N02,S12,B,127,728,TRUE,s034,-0.38834,<undefined>,-0.11482,-0.45563,-0.43137,<undefined>,0.35621,0.0042893,-0.09375,<undefined>,-0.14165,-0.43566,0.056373,<undefined>,-0.087282,-0.49913,0.29388,<undefined>,-0.16667,-0.24379,-0.43227,<undefined>,-0.24908,-0.41958,-0.34112,<undefined>,-0.41958,-0.43227,-0.43566,<undefined>,-0.43872,-0.060112,<undefined>,<undefined>,<undefined>,<undefined>,0.16071,<undefined>,0.021447,0.23407,0.04037,<undefined>,0.012419,-0.41993,-0.41993,<undefined>,-0.33235,-0.41958,0.095238,<undefined>,-0.24561,-0.023256,-0.42431,<undefined>,-0.42091,-0.49232,0.35529,<undefined>,0.19444,0.4
novel,super,N02,S12,C,54,1447,TRUE,s035,-0.049982,0.044906,<undefined>,0.0064238,-0.071429,<undefined>,<undefined>,0.25,0.053871,-0.082843,<undefined>,-0.071429,0.27092,-0.035714,<undefined>,-0.16071,0.00052567,0.053571,<undefined>,-0.053571,0.038778,-0.35714,<undefined>,0,0.017857,-0.089286,<undefined>,0.038778,0.041842,-0.017857,<undefined>,0.23214,<undefined>,<undefined>,<undefined>,<undefined>,0.16991,-0.03265,<undefined>,-0.0086657,0.16071,0.071429,<undefined>,-0.035714,-0.035714,-0.10714,<undefined>,0,0.089286,-0.082688,<undefined>,-0.017271,-0.089286,-0.25,<undefined>,-0.089286,0.00052567,-0.17244,<undefined>,-0.049982
novel,super,N02,S12,D,157,716,TRUE,s036,-0.061365,0.063959,-0.012632,<undefined>,0.40441,<undefined>,0.039052,<undefined>,-0.09375,-0.20392,-0.0065356,<undefined>,0.092865,0.03125,-0.19444,<undefined>,0.047619,-0.031863,-0.035714,<undefined>,0.12332,-0.076357,0.2402,<undefined>,0.27984,0.12332,0.2402,<undefined>,0.092157,0.063959,0.063959,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,0.0030638,0.048891,-0.087132,<undefined>,0.21093,0.26226,0.17857,<undefined>,0.34594,0.31635,0.42308,<undefined>,-0.031279,-0.14022,-0.15789,<undefined>,0.19666,0.079385,0.28954,<undefined>,-0.22048,-0.11209,0.03731,<undefined>
novel,super,N02,S13,A,14,1386,TRUE,s037,<undefined>,-0.13261,0.051559,-0.16497,<undefined>,<undefined>,0.15205,0.11327,<undefined>,-0.2432,0.075018,-0.21936,<undefined>,-0.22908,0,-0.33316,<undefined>,0.053571,-0.014793,-0.13979,<undefined>,-0.43111,-0.097426,-0.14793,<undefined>,-0.088234,-0.14793,-0.13874,<undefined>,-0.18671,-0.13261,0.071954,<undefined>,0.16071,0.16991,0.0030638,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,-0.0025381,0.098477,-0.15406,<undefined>,-0.1959,-0.25,-0.14793,<undefined>,-0.16351,-0.010019,0.24253,<undefined>,-0.30917,-0.19284,-0.19284,<undefined>,0,0.14286,0.28878
novel,super,N02,S13,B,160,928,TRUE,s038,-0.37827,<undefined>,-0.037895,-0.38666,-0.35862,<undefined>,0.030831,-0.075,0.010417,<undefined>,-0.15594,-0.42353,-0.039086,<undefined>,-0.10075,-0.4902,0.16737,<undefined>,-0.19698,-0.22704,-0.32701,<undefined>,-0.25335,-0.34056,-0.26161,<undefined>,-0.34056,-0.32701,-0.33566,<undefined>,-0.34349,-0.016511,0.225,<undefined>,-0.03265,0.048891,<undefined>,<undefined>,<undefined>,<undefined>,0.01806,<undefined>,-0.0082555,-0.34959,-0.34959,<undefined>,-0.15712,-0.34056,0.14286,<undefined>,-0.14461,0.13953,-0.33604,<undefined>,-0.34507,-0.40673,0.094416,<undefined>,0.23684,0.25373
novel,super,N02,S13,C,149,998,TRUE,s039,-0.49628,-0.55439,<undefined>,-0.53938,-0.3864,<undefined>,<undefined>,-0.17426,-0.25506,-0.49749,<undefined>,-0.55711,-0.26569,-0.41213,<undefined>,-0.60282,-0.015639,-0.20784,<undefined>,-0.34926,-0.53211,-0.57579,<undefined>,-0.45711,-0.48211,-0.39926,<undefined>,-0.53211,-0.55711,-0.55439,<undefined>,-0.31997,-0.10355,0.021447,<undefined>,-0.087132,<undefined>,<undefined>,<undefined>,<undefined>,-0.26997,-0.19497,<undefined>,-0.40711,-0.40711,-0.42782,<undefined>,-0.45711,0.02381,-0.14435,<undefined>,-0.079058,-0.44926,-0.56924,<undefined>,-0.43211,0.090686,-0.11538,<undefined>,0.043431
novel,super,N02,S13,D,1,1433,TRUE,s040,-0.39043,-0.26753,0.084654,<undefined>,-0.29723,<undefined>,-0.051093,<undefined>,0.14941,-0.33891,-0.15658,<undefined>,0.013198,-0.32362,-0.10879,<undefined>,0.068157,-0.012632,-0.20824,<undefined>,-0.27413,-0.58899,-0.22964,<undefined>,-0.22634,-0.21974,-0.28403,<undefined>,-0.27083,-0.32579,-0.26753,<undefined>,0.13791,0.23407,-0.0086657,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,0.0005661,-0.12745,-0.018665,<undefined>,-0.29063,-0.33569,-0.39395,<undefined>,0.096154,-0.25974,-0.14009,<undefined>,-0.34832,-0.45767,-0.33239,<undefined>,0.016497,-0.041195,-0.038462,<undefined>
novel,super,N02,S14,A,16,810,TRUE,s041,<undefined>,0.21499,0.21154,0.052232,<undefined>,<undefined>,0.49077,0.475,<undefined>,-0.047855,0.39583,0.30074,<undefined>,-0.088235,0.41667,0.11765,<undefined>,0.35294,0.13279,0.23529,<undefined>,-0.035162,0.2748,0.41263,<undefined>,0.25942,0.41263,0.29025,<undefined>,0.18709,0.21499,0.66241,<undefined>,0.04037,0.16071,0.21093,<undefined>,0.01806,-0.26997,0.0005661,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,0.33362,0.14706,0.41263,<undefined>,-0.10488,-0.12281,-0.089033,<undefined>,0.13889,0.33867,0.33867,<undefined>,-0.13462,-0.06427,-0.12569
