fame,ability,face,subj,angle,trial,rt,acc,sq,s001,s002,s003,s004,s005,s006,s007,s008,s009,s010,s011,s012,s013,s014,s015,s016,s017,s018,s019,s020,s021,s022,s023,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s045,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057,s058,s059,s060
famous,devprop,F08,D94,C,97,1378,FALSE,s051,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
famous,devprop,F08,D94,D,109,1572,FALSE,s052,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
famous,devprop,F08,D95,A,122,2334,FALSE,s053,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
famous,devprop,F08,D95,B,63,2084,FALSE,s054,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
famous,devprop,F08,D95,C,134,2183,FALSE,s055,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
famous,devprop,F08,D95,D,19,2328,TRUE,s056,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,0.36535,-0.027911,-0.1058,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,0.022019,<undefined>,0.055838,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,-0.052565,-0.18719,-0.019451,<undefined>,-0.3386,-0.39513,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,0.097359,<undefined>,<undefined>,-0.23404,<undefined>,0.010638,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,0.31915,<undefined>,<undefined>,<undefined>
famous,devprop,F08,D96,A,147,2466,TRUE,s057,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,-0.0031821,-0.15368,0.027829,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,-0.023805,0.050727,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,-0.11964,-0.037077,-0.2234,<undefined>,-0.21396,<undefined>,-0.23404,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,0.10371,<undefined>,0.04506,<undefined>,<undefined>,0.086932,-0.03009,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,0.31915,<undefined>,<undefined>,<undefined>,<undefined>
famous,devprop,F08,D96,B,59,1649,FALSE,s058,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
famous,devprop,F08,D96,C,65,2770,FALSE,s059,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
famous,devprop,F08,D96,D,49,2770,TRUE,s060,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,-0.25388,0.30981,0.34895,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,0.20632,<undefined>,-0.111,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,0.23585,0.19811,-0.0061967,<undefined>,-0.084906,0.40108,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,0.094181,<undefined>,<undefined>,-0.32075,<undefined>,-0.26521,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
